0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,label
0.0,0.045,0.125,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.016,0.0,0.142,0.103,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.003,0.006,0.017,1
0.046,0.02,0.098,0.0,0.014,0.048,0.029,0.006,0.0,0.052,0.08,0.082,0.117,0.021,0.032,0.007,0.01,0.031,0.185,0.0,0.143,0.0,0.079,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.011,0.03,0.002,0.004,0.01,0.065,1
0.013,0.0,0.139,0.0,0.123,0.032,0.026,0.011,0.122,0.014,0.146,0.047,0.022,0.0,0.397,0.003,0.008,0.113,0.073,0.018,0.046,0.0,0.213,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.034,0.0,0.003,0.003,0.0,0.0,0.002,0.015,0.0,0.008,0.031,0.001,0.008,0.048,0.143,1
0.0,0.0,0.0,0.0,0.063,0.0,0.043,0.057,0.059,0.035,0.119,0.032,0.056,0.0,0.0,0.016,0.0,0.0,0.17,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.004,0.0,0.0,0.002,0.004,0.012,1
0.0,0.0,0.0,0.0,0.063,0.0,0.043,0.057,0.059,0.035,0.119,0.032,0.056,0.0,0.0,0.016,0.0,0.0,0.17,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.004,0.0,0.0,0.002,0.004,0.012,1
0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.002,0.001,0.003,1
0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.035,0.368,0.132,0.0,0.0,0.0,0.048,0.0,0.035,0.205,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.005,0.009,0.0,0.001,0.0,0.007,1
0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.001,0.001,0.003,1
0.033,0.0,0.09,0.0,0.061,0.0,0.041,0.0,0.175,0.042,0.291,0.095,0.0,0.0,0.0,0.0,0.0,0.017,0.066,0.194,0.18,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.006,0.034,0.001,0.008,0.044,0.079,1
0.013,0.008,0.151,0.0,0.019,0.054,0.052,0.0,0.011,0.0,0.0,0.066,0.045,0.0,0.027,0.0,0.0,0.013,0.089,0.003,0.064,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.009,0.003,0.0,0.008,0.013,0.0,0.001,0.004,0.047,1
